City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Dingle,PH,11.0,122.67,81.14,78,62,2.91,broken clouds
283,Grivenskaya,RU,45.65,38.18,61.05,86,0,1.45,clear sky
284,Sumbe,AO,-11.21,13.84,74.19,91,100,9.06,light rain
285,Mahebourg,MU,-20.41,57.7,68.0,100,20,5.82,few clouds
286,Calama,CL,-22.47,-68.93,71.6,12,66,20.8,broken clouds
287,Alghero,IT,40.56,8.32,60.8,63,40,6.93,scattered clouds
288,Kruisfontein,ZA,-34.0,24.73,57.0,95,11,4.85,few clouds
289,Sao Felix Do Xingu,BR,-6.64,-51.99,83.48,44,55,1.36,broken clouds
290,Rock Sound,BS,24.9,-76.2,83.34,78,95,10.56,overcast clouds
291,Myitkyina,MM,25.38,97.4,72.61,91,69,1.7,broken clouds
292,Yar-Sale,RU,66.83,70.83,30.6,98,100,25.17,overcast clouds
293,Nabire,ID,-3.37,135.48,83.07,69,92,2.3,overcast clouds
294,Muros,ES,42.78,-9.06,50.0,91,100,1.01,overcast clouds
295,Moyale,KE,3.52,39.06,69.73,74,60,13.09,broken clouds
296,Senanga,ZM,-16.12,23.27,71.67,33,0,5.68,clear sky
297,Nizwa,OM,22.93,57.53,68.72,21,0,4.56,clear sky
298,Deputatskiy,RU,69.3,139.9,13.37,97,100,10.0,light snow
299,Nouadhibou,MR,20.93,-17.03,78.8,57,4,16.11,clear sky
300,Nome,US,64.5,-165.41,39.2,80,90,32.21,haze
301,Celestun,MX,20.87,-90.4,80.51,77,5,10.92,clear sky
302,Thinadhoo,MV,0.53,72.93,82.69,77,61,19.39,light rain
303,Ust-Kuyga,RU,70.02,135.6,17.74,96,100,7.18,light snow
304,Mandalgovi,MN,45.76,106.27,35.44,75,100,10.0,overcast clouds
305,Araouane,ML,18.9,-3.53,91.83,13,0,9.78,clear sky
306,Marawi,PH,8.0,124.29,81.0,81,92,1.01,overcast clouds
307,Chardara,KZ,41.25,67.97,55.18,40,0,5.1,clear sky
308,Jiayuguan,CN,39.82,98.3,41.02,52,28,7.49,scattered clouds
309,Itarema,BR,-2.92,-39.92,78.64,79,1,14.85,clear sky
310,Grindavik,IS,63.84,-22.43,41.0,100,40,6.93,scattered clouds
311,Fairbanks,US,64.84,-147.72,21.2,48,1,6.93,clear sky
312,Ipixuna,BR,-1.76,-48.8,73.4,100,75,14.99,moderate rain
313,Georgetown,MY,5.41,100.34,78.8,94,20,3.76,few clouds
314,Monrovia,LR,6.3,-10.8,78.21,87,82,5.82,broken clouds
315,Kaitangata,NZ,-46.28,169.85,50.0,64,80,13.0,broken clouds
316,Ouahigouya,BF,13.58,-2.42,86.65,31,18,2.62,few clouds
